time,stability_score,cadence,stride_time,shoulder_tilt,hip_tilt,velocity,acceleration
0.6400721073150635,0,0.0,0,-178.42205108793294,165.17046921180452,0,0
0.8187687397003174,0,0.0,0,-177.83839460729232,-179.81543832236665,0.06097286383853286,0.06097286383853286
0.8637564182281494,0,0.0,0,-177.2604318806945,-177.82523904312455,0.01758171177555884,-0.043391152062974024
0.9237241744995117,0,0.0,0,-177.06819341789466,-178.18245696130762,0.019257717251595433,0.0016760054760365933
0.9686214923858643,0,0.0,0,-178.3111083261327,-178.7593457669664,0.006439866235066843,-0.01281785101652859
1.0334792137145996,0,0.0,0,-178.91403815263195,-179.3302130099804,0.009374572777874455,0.002934706542807612
1.0835702419281006,0,0.0,0,-178.59613475153503,-178.07889404285956,0.014075129403932497,0.004700556626058042
1.129032850265503,0,0.0,0,-178.51171606913627,-178.59393988042487,0.005400356282785188,-0.00867477312114731
1.179032325744629,0,25.356916256601373,0,-178.59161820957445,-178.8897018277038,0.001581252629204619,-0.003819103653580569
1.2259900569915771,0,24.863481577667407,0,-178.74653920123507,-178.57662877088265,0.002688824155062537,0.0011075715258579179
1.27199125289917,0,24.388050062622856,0,-178.82301859520857,-178.50474352617337,0.0022608067764697346,-0.00042801737859280223
1.321657657623291,0,23.9249243059765,0,-178.78080141138932,-178.9542715279261,0.002009931302945691,-0.00025087547352404356
1.381575584411621,0,23.348875236194925,0,-178.63015101115286,-177.41672959836785,0.018421496159690104,0.01641156485674441
1.42738676071167,0,45.862381822580446,0,-178.7920483546893,167.39058962986115,0.04476394640182155,0.026342450242131443
1.4843840599060059,0,44.90064552043077,0,-178.2971143290458,163.26796482581108,0.02641497343664751,-0.018348972965174036
1.5333738327026367,0,44.09296135382422,0,-176.53926405997922,164.3130429935634,0.027816248276439214,0.0014012748397917024
1.5814337730407715,0,64.96750053309555,0.15409255027770996,-176.2292306786227,174.28320082745975,0.034032317353124654,0.00621606907668544
1.6343715190887451,0,106.43742407620712,0.45233917236328125,-175.95806496426505,168.61497225215936,0.014943008793176648,-0.019089308559948004
